Area [m^2],Final Collector Temperature [C],Final Tank Water Temperature [C]
1.0,7.5,13.906479223724318
1.5,7.5,16.826457278958337
2.0,7.5,19.60021844391311
2.5,7.5,22.25187950597708
3.0,7.5,24.79318000297015
3.5,7.5,27.245995103157735
4.0,7.5,29.613864908146365
4.5,7.5,31.9047234704205
5.0,7.5,34.12510016778604
5.5,7.5,36.302517457904386
6.0,7.5,38.40070337558737
6.5,7.5,40.47097781123968
7.0,7.5,42.52647575594513
7.5,7.5,44.505049031016235
8.0,7.5,46.44281591770821
8.5,7.5,48.358348801511525
9.0,7.5,50.240333760994005
9.5,7.5,52.09017481054191
10.0,7.5,53.90884492612094
10.5,7.5,55.72099976566082
11.0,7.5,57.506833749398
11.5,7.5,59.2664146740651
12.0,7.5,60.99907750804346
12.5,7.5,62.70359156252195
13.0,7.5,64.39697765165587
13.5,7.5,66.01861663800734
14.0,7.5,67.59580079558171
14.5,7.5,69.05909001189801
