Area [m^2],Final Collector Temperature [C],Final Tank Water Temperature [C]
1.0,7.5,14.87060685642081
1.5,7.5,17.648109503940187
2.0,7.5,20.070042557336503
2.5,7.5,22.213744273715726
3.0,7.5,24.147267960326353
3.5,7.5,25.91544461567694
4.0,7.5,27.536587586644202
4.5,7.5,29.064069412384654
5.0,7.5,30.483944463376424
5.5,7.5,31.827244247142975
6.0,7.5,33.105838694632844
6.5,7.5,34.32807913851688
7.0,7.5,35.50100538021702
7.5,7.5,36.629988599328655
8.0,7.5,37.71901976824438
8.5,7.5,38.770927962352744
9.0,7.5,39.829410668442094
9.5,7.5,40.81331984003846
10.0,7.5,41.80698317104826
10.5,7.5,42.76723231131798
11.0,7.5,43.69208086124646
11.5,7.5,44.62208530334384
12.0,7.5,45.50846059426865
12.5,7.5,46.384678487878794
13.0,7.5,47.2343559835108
13.5,7.5,48.00642209867146
14.0,7.5,48.712218737013586
14.5,7.5,49.34004495873873
