Area [m^2],Final Collector Temperature [C],Final Tank Water Temperature [C]
1.0,7.5,15.441089996410534
1.5,7.5,18.62508011419861
2.0,7.5,21.473094751212994
2.5,7.5,24.05237768624054
3.0,7.5,26.425490022586676
3.5,7.5,28.617362987269182
4.0,7.5,30.663739698522573
4.5,7.5,32.58795218518998
5.0,7.5,34.40874668560502
5.5,7.5,36.11879037305672
6.0,7.5,37.77206711410133
6.5,7.5,39.35955476186612
7.0,7.5,40.88970632726157
7.5,7.5,42.36967539797597
8.0,7.5,43.80447172913505
8.5,7.5,45.19454571852278
9.0,7.5,46.54146274944495
9.5,7.5,47.84635125809873
10.0,7.5,49.15686398136925
10.5,7.5,50.42658587009152
11.0,7.5,51.65339719388939
11.5,7.5,52.83445262829497
12.0,7.5,54.011183533306315
12.5,7.5,55.171922535503874
13.0,7.5,56.26165208241922
13.5,7.5,57.302555813071834
14.0,7.5,58.264246320299904
14.5,7.5,59.11801866765585
