Area [m^2],Final Collector Temperature [C],Final Tank Water Temperature [C]
1.0,7.5,13.885426013900375
1.5,7.5,15.72240640721307
2.0,7.5,17.165095453170707
2.5,7.5,18.34777767472736
3.0,7.5,19.3620313535897
3.5,7.5,20.234674490579895
4.0,7.5,21.03197590952506
4.5,7.5,21.73216441578034
5.0,7.5,22.39739291205012
5.5,7.5,23.002523583613094
6.0,7.5,23.59756676706278
6.5,7.5,24.143203618931516
7.0,7.5,24.66570223524984
7.5,7.5,25.16824924456671
8.0,7.5,25.68354964762545
8.5,7.5,26.153122812259117
9.0,7.5,26.639359619230575
9.5,7.5,27.11113366207648
10.0,7.5,27.56738565256097
10.5,7.5,28.006599434677554
11.0,7.5,28.46026937672367
11.5,7.5,28.89157976200236
12.0,7.5,29.32802740948581
12.5,7.5,29.731621776012613
13.0,7.5,30.123315441633782
13.5,7.5,30.48785665920401
14.0,7.5,30.82143309431086
14.5,7.5,31.07017751595184
